timestamp,drone_id,role,mode,x,y,z,target_x,target_y,target_z,error_x,error_y,error_z,rc_lr,rc_fb,rc_ud,rc_yaw,trust,obs_error_x,obs_error_y,obs_error_z,obs_state_x,obs_state_y,obs_state_z,cbf_enabled,cbf_margin,cbf_applied,cbf_fallback,u_nom_lr,u_nom_fb,u_filt_lr,u_filt_fb
1756189707.757174,0,leader,manual,0.05633365362882614,0.05538954585790634,0.07887343317270279,0,1,0,-0.05633365362882614,0.9446104541420937,-0.07887343317270279,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,False,,,,
1756189707.7573307,1,follower,manual,0.04925025254487991,0.05820100009441376,1.0243468284606934,0,1,1,-0.04925025254487991,0.9417989999055862,-0.02434682846069336,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,False,,,,
1756189707.962147,0,leader,manual,0.05633626878261566,0.055384159088134766,0.07886871695518494,0,1,0,-0.05633626878261566,0.9446158409118652,-0.07886871695518494,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,False,,,,
1756189707.9622543,1,follower,manual,0.04925323277711868,0.05819545313715935,1.0243473052978516,0,1,1,-0.04925323277711868,0.9418045468628407,-0.024347305297851562,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,False,,,,
1756189708.1661794,0,leader,manual,0.05633922666311264,0.05539916828274727,0.07888071238994598,0,1,0,-0.05633922666311264,0.9446008317172527,-0.07888071238994598,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,False,,,,
1756189708.1663234,1,follower,manual,0.04925844073295593,0.058212894946336746,1.0243538618087769,0,1,1,-0.04925844073295593,0.9417871050536633,-0.024353861808776855,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,False,,,,
1756189708.3220756,0,leader,manual,0.056338120251894,0.055394552648067474,0.07887029647827148,0,1,0,-0.056338120251894,0.9446054473519325,-0.07887029647827148,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,False,,,,
1756189708.3222675,1,follower,manual,0.049258869141340256,0.05820855870842934,1.024355173110962,0,1,1,-0.049258869141340256,0.9417914412915707,-0.024355173110961914,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,False,,,,
1756189708.7105043,0,leader,manual,0.056336864829063416,0.055386051535606384,0.07887094467878342,0,1,0,-0.056336864829063416,0.9446139484643936,-0.07887094467878342,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,False,,,,
1756189708.7107112,1,follower,manual,0.0492536686360836,0.05819862335920334,1.02434504032135,0,1,1,-0.0492536686360836,0.9418013766407967,-0.024345040321350098,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,False,,,,
1756189708.9308386,0,leader,manual,0.0563361719250679,0.05539285019040108,0.07887076586484909,0,1,0,-0.0563361719250679,0.9446071498095989,-0.07887076586484909,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,False,,,,
1756189708.9310126,1,follower,manual,0.04925287142395973,0.05820128321647644,1.024350643157959,0,1,1,-0.04925287142395973,0.9417987167835236,-0.024350643157958984,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,False,,,,
1756189709.1349077,0,leader,manual,0.05633514001965523,0.05540388077497482,0.07887377589941025,0,1,0,-0.05633514001965523,0.9445961192250252,-0.07887377589941025,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,False,,,,
1756189709.1352012,1,follower,manual,0.04925794154405594,0.058213986456394196,1.024359107017517,0,1,1,-0.04925794154405594,0.9417860135436058,-0.02435910701751709,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,False,,,,
1756189709.3394578,0,leader,manual,0.0563303604722023,0.05539655312895775,0.07887610048055649,0,1,0,-0.0563303604722023,0.9446034468710423,-0.07887610048055649,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,False,,,,
1756189709.3396456,1,follower,manual,0.049253981560468674,0.05820862948894501,1.0243545770645142,0,1,1,-0.049253981560468674,0.941791370511055,-0.02435457706451416,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,False,,,,
1756189709.5425653,0,leader,manual,0.05633673816919327,0.055386368185281754,0.07886869460344315,0,1,0,-0.05633673816919327,0.9446136318147182,-0.07886869460344315,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,False,,,,
1756189709.5427337,1,follower,manual,0.04925362393260002,0.0581960529088974,1.0243520736694336,0,1,1,-0.04925362393260002,0.9418039470911026,-0.024352073669433594,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,False,,,,
1756189709.748402,0,leader,manual,0.05633532255887985,0.05538835749030113,0.07887039333581924,0,1,0,-0.05633532255887985,0.9446116425096989,-0.07887039333581924,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,False,,,,
1756189709.7486374,1,follower,manual,0.04925449192523956,0.05820300802588463,1.0243518352508545,0,1,1,-0.04925449192523956,0.9417969919741154,-0.024351835250854492,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,False,,,,
1756189709.9174833,0,leader,manual,0.05633121356368065,0.05539504066109657,0.0788801908493042,0,1,0,-0.05633121356368065,0.9446049593389034,-0.0788801908493042,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,False,,,,
1756189709.9175787,1,follower,manual,0.04925631359219551,0.058212533593177795,1.024359107017517,0,1,1,-0.04925631359219551,0.9417874664068222,-0.02435910701751709,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,False,,,,
1756189710.1543365,0,leader,manual,0.056332193315029144,0.05539204180240631,0.07886968553066254,0,1,0,-0.056332193315029144,0.9446079581975937,-0.07886968553066254,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,False,,,,
1756189710.1544406,1,follower,manual,0.04925937205553055,0.05820512771606445,1.0243539810180664,0,1,1,-0.04925937205553055,0.9417948722839355,-0.024353981018066406,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,False,,,,
1756189710.3593779,0,leader,manual,0.0563344769179821,0.05538478493690491,0.07886486500501633,0,1,0,-0.0563344769179821,0.9446152150630951,-0.07886486500501633,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,False,,,,
