timestamp,drone_id,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz
1756101046.0607696,1,0.0,0.0,0.0,0.0,0.0,0.0,63.0,66.0,10.0,0.0,33.0,44.82,0.0,12.0,2.0,-999.0
1756101046.161332,2,0.0,0.0,0.0,0.0,0.0,0.0,64.0,66.0,10.0,0.0,33.0,44.25,0.0,11.0,1.0,-999.0
1756101046.1724904,1,0.0,0.0,0.0,0.0,0.0,0.0,60.0,63.0,10.0,0.0,33.0,42.52,0.0,5.0,-7.0,-1003.0
1756101046.2728019,2,0.0,0.0,0.0,0.0,0.0,0.0,64.0,66.0,10.0,0.0,33.0,44.27,0.0,12.0,2.0,-999.0
1756101046.3768682,1,0.0,0.0,0.0,0.0,0.0,0.0,60.0,63.0,10.0,0.0,33.0,42.49,0.0,5.0,-7.0,-1001.0
1756101046.477323,2,0.0,0.0,0.0,0.0,0.0,0.0,64.0,66.0,10.0,0.0,33.0,44.27,0.0,11.0,1.0,-1000.0
1756101046.580168,1,0.0,0.0,0.0,0.0,0.0,0.0,60.0,63.0,10.0,0.0,33.0,42.46,0.0,5.0,-7.0,-999.0
1756101046.6806371,2,0.0,0.0,0.0,0.0,0.0,0.0,64.0,66.0,10.0,0.0,33.0,44.27,0.0,12.0,1.0,-1000.0
1756101046.7846522,1,0.0,0.0,0.0,0.0,0.0,0.0,60.0,63.0,10.0,0.0,33.0,42.44,0.0,4.0,-7.0,-1000.0
1756101046.8850722,2,0.0,0.0,0.0,0.0,0.0,0.0,64.0,66.0,10.0,0.0,33.0,44.25,0.0,12.0,1.0,-999.0
1756101047.0889823,1,0.0,0.0,0.0,0.0,0.0,0.0,60.0,63.0,10.0,0.0,33.0,42.46,0.0,5.0,-7.0,-999.0
1756101053.4031699,2,0.0,0.0,0.0,0.0,0.0,0.0,60.0,63.0,10.0,0.0,33.0,42.47,0.0,5.0,-6.0,-998.0
1756101053.764454,1,-1.0,0.0,-3.0,0.0,0.0,0.0,63.0,66.0,78.0,30.0,31.0,45.18,6.0,9.0,-1.0,-997.0
1756101053.8652403,2,0.0,0.0,0.0,0.0,0.0,0.0,60.0,63.0,81.0,60.0,32.0,43.61,6.0,-15.0,6.0,-995.0
1756101054.0739796,1,0.0,0.0,-3.0,0.0,0.0,0.0,63.0,66.0,79.0,30.0,31.0,45.24,6.0,1.0,3.0,-1002.0
1756101054.1743672,2,0.0,0.0,0.0,0.0,0.0,0.0,60.0,63.0,82.0,60.0,32.0,43.44,6.0,-8.0,10.0,-996.0
1756101054.3772626,1,0.0,0.0,-4.0,0.0,0.0,0.0,63.0,66.0,80.0,30.0,30.0,45.32,7.0,8.0,-1.0,-986.0
1756101054.4777944,2,0.0,0.0,0.0,0.0,0.0,0.0,60.0,63.0,82.0,60.0,31.0,43.52,7.0,-2.0,-1.0,-996.0
1756101054.6833105,1,0.0,0.0,-3.0,0.0,0.0,0.0,63.0,66.0,82.0,30.0,30.0,45.25,7.0,2.0,7.0,-1000.0
1756101054.7844214,2,0.0,0.0,0.0,0.0,0.0,0.0,60.0,64.0,83.0,60.0,31.0,43.56,7.0,-7.0,11.0,-992.0
1756101054.9893007,1,-1.0,0.0,-3.0,0.0,0.0,0.0,63.0,66.0,81.0,30.0,30.0,45.32,7.0,3.0,-2.0,-973.0
