timestamp,drone_id,role,mode,x,y,z,target_x,target_y,target_z,error_x,error_y,error_z,rc_lr,rc_fb,rc_ud,rc_yaw,trust,obs_error_x,obs_error_y,obs_error_z,obs_state_x,obs_state_y,obs_state_z
1754556554.4907224,0,leader,manual,0.07936813682317734,0.05543693155050278,0.08581232279539108,0,1,0,-0.07936813682317734,0.9445630684494972,-0.08581232279539108,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1754556554.5910225,1,follower,manual,0.09425441920757294,0.058983709663152695,0.9739579558372498,0,1,1,-0.09425441920757294,0.9410162903368473,0.026042044162750244,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1754556554.693075,0,leader,manual,0.0793689712882042,0.05543287843465805,0.08580536395311356,0,1,0,-0.0793689712882042,0.944567121565342,-0.08580536395311356,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1754556554.793394,1,follower,manual,0.0942443460226059,0.05898069217801094,0.9739562273025513,0,1,1,-0.0942443460226059,0.9410193078219891,0.02604377269744873,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1754556554.895321,0,leader,manual,0.07936294376850128,0.05543842166662216,0.08581521362066269,0,1,0,-0.07936294376850128,0.9445615783333778,-0.08581521362066269,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1754556554.995566,1,follower,manual,0.09424460679292679,0.058992110192775726,0.9739564061164856,0,1,1,-0.09424460679292679,0.9410078898072243,0.026043593883514404,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1754556555.099332,0,leader,manual,0.0793638601899147,0.05544550344347954,0.08580555766820908,0,1,0,-0.0793638601899147,0.9445544965565205,-0.08580555766820908,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1754556555.199672,1,follower,manual,0.09424110502004623,0.05898265168070793,0.9739509224891663,0,1,1,-0.09424110502004623,0.9410173483192921,0.02604907751083374,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1754556555.3038418,0,leader,manual,0.0793600082397461,0.05544183775782585,0.08580838143825531,0,1,0,-0.0793600082397461,0.9445581622421741,-0.08580838143825531,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1754556555.90782,1,follower,manual,0.09424680471420288,0.05898282676935196,0.973960816860199,0,1,1,-0.09424680471420288,0.941017173230648,0.026039183139801025,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1754556556.0186784,0,leader,manual,0.07936554402112961,0.05543986335396767,0.08581026643514633,0,1,0,-0.07936554402112961,0.9445601366460323,-0.08581026643514633,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
