timestamp,drone_id,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz
1760686584.7528105,1,0.0,0.0,0.0,0.0,0.0,0.0,73.0,76.0,10.0,0.0,68.0,-46.89,0.0,12.0,-2.0,-1001.0
1760686584.7910194,2,0.0,0.0,0.0,0.0,0.0,0.0,73.0,76.0,10.0,0.0,68.0,-46.87,0.0,9.0,-3.0,-1000.0
1760686585.8360288,1,0.0,0.0,0.0,0.0,0.0,0.0,66.0,69.0,10.0,0.0,72.0,-48.79,0.0,2.0,8.0,-997.0
1760686585.8405066,2,0.0,0.0,0.0,0.0,0.0,0.0,66.0,69.0,10.0,0.0,72.0,-48.8,0.0,4.0,7.0,-999.0
1760686585.9640934,1,0.0,0.0,0.0,0.0,0.0,0.0,73.0,76.0,10.0,0.0,68.0,-46.78,0.0,10.0,-3.0,-998.0
1760686586.064428,2,0.0,0.0,0.0,0.0,0.0,0.0,66.0,69.0,10.0,0.0,72.0,-48.74,0.0,3.0,9.0,-1000.0
1760686586.1696239,1,0.0,0.0,0.0,0.0,0.0,0.0,73.0,76.0,10.0,0.0,68.0,-46.79,0.0,11.0,-4.0,-999.0
1760686586.2699351,2,0.0,0.0,0.0,0.0,0.0,0.0,66.0,69.0,10.0,0.0,72.0,-48.68,0.0,1.0,7.0,-999.0
1760686586.3732731,1,0.0,0.0,0.0,0.0,0.0,0.0,74.0,76.0,10.0,0.0,68.0,-46.85,0.0,11.0,-4.0,-998.0
1760686586.4738662,2,0.0,0.0,0.0,0.0,0.0,0.0,67.0,69.0,10.0,0.0,72.0,-48.77,0.0,2.0,8.0,-999.0
1760686586.5782273,1,0.0,0.0,0.0,0.0,0.0,0.0,74.0,76.0,10.0,0.0,68.0,-46.81,0.0,12.0,-3.0,-1002.0
1760686586.6787214,2,0.0,0.0,0.0,0.0,0.0,0.0,67.0,69.0,10.0,0.0,72.0,-48.78,0.0,3.0,9.0,-1000.0
1760686586.7816224,1,0.0,0.0,0.0,0.0,0.0,0.0,74.0,76.0,10.0,0.0,68.0,-46.82,0.0,11.0,-3.0,-1002.0
1760686586.881905,2,0.0,0.0,0.0,0.0,0.0,0.0,67.0,69.0,10.0,0.0,72.0,-48.74,0.0,3.0,6.0,-1000.0
1760686586.9876602,1,0.0,0.0,0.0,0.0,0.0,0.0,74.0,76.0,10.0,0.0,68.0,-46.77,0.0,10.0,-2.0,-1000.0
1760686587.0880098,2,0.0,0.0,0.0,0.0,0.0,0.0,67.0,69.0,10.0,0.0,72.0,-48.7,0.0,3.0,8.0,-1000.0
1760686587.1915913,1,0.0,0.0,0.0,0.0,0.0,0.0,74.0,76.0,10.0,0.0,68.0,-46.75,0.0,12.0,-3.0,-1000.0
1760686587.2919133,2,0.0,0.0,0.0,0.0,0.0,0.0,67.0,69.0,10.0,0.0,72.0,-48.75,0.0,2.0,8.0,-999.0
1760686587.3967113,1,0.0,0.0,0.0,0.0,0.0,0.0,74.0,77.0,10.0,0.0,68.0,-46.74,0.0,11.0,-4.0,-999.0
1760686587.4970977,2,0.0,0.0,0.0,0.0,0.0,0.0,67.0,69.0,10.0,0.0,72.0,-48.73,0.0,4.0,8.0,-1000.0
1760686587.6013913,1,0.0,0.0,0.0,0.0,0.0,0.0,74.0,77.0,10.0,0.0,68.0,-46.76,0.0,9.0,-5.0,-1000.0
1760686587.7018337,2,0.0,0.0,0.0,0.0,0.0,0.0,67.0,69.0,10.0,0.0,72.0,-48.69,0.0,2.0,8.0,-1000.0
1760686587.8060143,1,0.0,0.0,0.0,0.0,0.0,0.0,74.0,77.0,10.0,0.0,68.0,-46.76,0.0,11.0,-4.0,-1000.0
1760686587.9063509,2,0.0,0.0,0.0,0.0,0.0,0.0,74.0,77.0,10.0,0.0,68.0,-46.73,0.0,12.0,-3.0,-1002.0
1760686588.0609722,1,0.0,0.0,0.0,0.0,0.0,0.0,74.0,77.0,10.0,0.0,68.0,-46.77,0.0,11.0,-4.0,-1000.0
1760686588.1614559,2,0.0,0.0,0.0,0.0,0.0,0.0,67.0,69.0,10.0,0.0,72.0,-48.72,0.0,2.0,8.0,-1001.0
1760686588.264458,1,0.0,0.0,0.0,0.0,0.0,0.0,74.0,77.0,10.0,0.0,68.0,-46.76,0.0,11.0,-3.0,-1001.0
1760686588.3652194,2,0.0,0.0,0.0,0.0,0.0,0.0,67.0,69.0,10.0,0.0,72.0,-48.69,0.0,2.0,8.0,-997.0
1760686588.4679205,1,0.0,0.0,0.0,0.0,0.0,0.0,74.0,77.0,10.0,0.0,68.0,-46.8,0.0,11.0,-3.0,-998.0
1760686588.5683963,2,0.0,0.0,0.0,0.0,0.0,0.0,67.0,69.0,10.0,0.0,72.0,-48.71,0.0,2.0,8.0,-1000.0
1760686588.6736064,1,0.0,0.0,0.0,0.0,0.0,0.0,74.0,77.0,10.0,0.0,68.0,-46.76,0.0,11.0,-3.0,-1000.0
