timestamp,drone_id,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz
1756446830.2322853,1,0.0,0.0,0.0,0.0,0.0,0.0,76.0,77.0,10.0,0.0,90.0,33.32,0.0,12.0,0.0,-1000.0
1756446830.234051,2,0.0,0.0,0.0,0.0,0.0,0.0,68.0,70.0,10.0,0.0,93.0,31.34,0.0,0.0,4.0,-1000.0
1756446830.752031,1,0.0,0.0,0.0,0.0,0.0,0.0,76.0,77.0,10.0,0.0,90.0,33.28,0.0,11.0,0.0,-999.0
1756446830.753566,2,0.0,0.0,0.0,0.0,0.0,0.0,76.0,77.0,10.0,0.0,90.0,33.31,0.0,12.0,0.0,-999.0
1756446831.0482402,1,0.0,0.0,0.0,0.0,0.0,0.0,75.0,79.0,10.0,0.0,90.0,33.26,0.0,13.0,0.0,-1000.0
1756446831.148646,2,0.0,0.0,0.0,0.0,0.0,0.0,68.0,71.0,10.0,0.0,93.0,31.35,0.0,0.0,2.0,-1002.0
1756446831.2533798,1,0.0,0.0,0.0,0.0,0.0,0.0,75.0,79.0,10.0,0.0,90.0,33.32,0.0,12.0,1.0,-999.0
1756446831.353698,2,0.0,0.0,0.0,0.0,0.0,0.0,68.0,71.0,10.0,0.0,93.0,31.3,0.0,-1.0,3.0,-1000.0
1756446831.458419,1,0.0,0.0,0.0,0.0,0.0,0.0,75.0,79.0,10.0,0.0,90.0,33.21,0.0,12.0,1.0,-999.0
1756446831.5589736,2,0.0,0.0,0.0,0.0,0.0,0.0,68.0,71.0,10.0,0.0,93.0,31.31,0.0,-1.0,2.0,-998.0
1756446831.6663883,1,0.0,0.0,0.0,0.0,0.0,0.0,75.0,79.0,10.0,0.0,90.0,33.23,0.0,11.0,1.0,-998.0
1756446831.7671223,2,0.0,0.0,0.0,0.0,0.0,0.0,68.0,71.0,10.0,0.0,93.0,31.24,0.0,0.0,2.0,-998.0
1756446831.9133966,1,0.0,0.0,0.0,0.0,0.0,0.0,75.0,79.0,10.0,0.0,90.0,33.19,0.0,10.0,0.0,-999.0
1756446832.014082,2,0.0,0.0,0.0,0.0,0.0,0.0,68.0,71.0,10.0,0.0,93.0,31.23,0.0,0.0,2.0,-1000.0
1756446832.1173556,1,0.0,0.0,0.0,0.0,0.0,0.0,75.0,79.0,10.0,0.0,90.0,33.23,0.0,12.0,1.0,-999.0
1756446832.217695,2,0.0,0.0,0.0,0.0,0.0,0.0,68.0,70.0,10.0,0.0,93.0,31.24,0.0,0.0,4.0,-1002.0
1756446832.320851,1,0.0,0.0,0.0,0.0,0.0,0.0,75.0,79.0,10.0,0.0,90.0,33.11,0.0,12.0,0.0,-999.0
1756446832.4212892,2,0.0,0.0,0.0,0.0,0.0,0.0,68.0,70.0,10.0,0.0,93.0,31.21,0.0,0.0,2.0,-1000.0
1756446832.525341,1,0.0,0.0,0.0,0.0,0.0,0.0,75.0,79.0,10.0,0.0,90.0,33.15,0.0,14.0,0.0,-999.0
1756446832.6256785,2,0.0,0.0,0.0,0.0,0.0,0.0,68.0,70.0,10.0,0.0,93.0,31.2,0.0,0.0,3.0,-1000.0
1756446832.7324858,1,0.0,0.0,0.0,0.0,0.0,0.0,75.0,79.0,10.0,0.0,90.0,33.14,0.0,12.0,0.0,-999.0
1756446832.8327987,2,0.0,0.0,0.0,0.0,0.0,0.0,68.0,70.0,10.0,0.0,93.0,31.16,0.0,0.0,2.0,-1001.0
1756446832.9346125,1,0.0,0.0,0.0,0.0,0.0,0.0,76.0,78.0,10.0,0.0,90.0,33.13,0.0,10.0,0.0,-1001.0
1756446833.0349398,2,0.0,0.0,0.0,0.0,0.0,0.0,68.0,70.0,10.0,0.0,93.0,31.16,0.0,-1.0,3.0,-1001.0
1756446833.1398604,1,0.0,0.0,0.0,0.0,0.0,0.0,76.0,78.0,10.0,0.0,90.0,33.07,0.0,13.0,1.0,-999.0
1756446833.2404356,2,0.0,0.0,0.0,0.0,0.0,0.0,69.0,71.0,10.0,0.0,93.0,31.16,0.0,0.0,1.0,-997.0
1756446833.4441254,1,0.0,0.0,0.0,0.0,0.0,0.0,76.0,78.0,10.0,0.0,90.0,33.06,0.0,12.0,1.0,-1000.0
1756446839.8577342,2,0.0,0.0,0.0,0.0,0.0,0.0,76.0,78.0,10.0,0.0,90.0,33.06,0.0,12.0,1.0,-999.0
1756446840.1659245,1,0.0,-1.0,0.0,0.0,0.0,0.0,74.0,77.0,78.0,50.0,89.0,34.03,6.0,-15.0,-9.0,-1014.0
1756446840.2666001,2,0.0,1.0,0.0,0.0,0.0,0.0,68.0,71.0,85.0,80.0,93.0,32.13,6.0,12.0,4.0,-998.0
1756446840.6378207,1,0.0,0.0,0.0,0.0,0.0,1.0,74.0,77.0,82.0,60.0,88.0,34.16,7.0,16.0,11.0,-995.0
1756446840.7384923,2,0.0,0.0,0.0,0.0,0.0,0.0,68.0,71.0,86.0,80.0,93.0,32.3,7.0,-4.0,19.0,-1004.0
1756446840.9679883,1,0.0,0.0,0.0,0.0,0.0,0.0,68.0,71.0,87.0,80.0,93.0,32.38,7.0,-5.0,14.0,-1007.0
1756446841.0685644,2,0.0,-1.0,0.0,0.0,0.0,0.0,75.0,77.0,85.0,60.0,88.0,34.2,7.0,5.0,-12.0,-1020.0
1756446841.3098497,1,0.0,0.0,0.0,0.0,0.0,0.0,68.0,71.0,89.0,80.0,93.0,32.42,7.0,-6.0,21.0,-985.0
1756446841.4103818,2,1.0,0.0,0.0,0.0,0.0,0.0,75.0,77.0,88.0,60.0,88.0,34.33,7.0,-3.0,-5.0,-1012.0
1756446841.6185782,1,0.0,0.0,0.0,0.0,0.0,0.0,68.0,71.0,90.0,90.0,93.0,32.61,8.0,2.0,11.0,-986.0
1756446841.7189848,2,0.0,-1.0,0.0,0.0,0.0,0.0,75.0,77.0,89.0,60.0,88.0,34.36,8.0,1.0,3.0,-956.0
1756446842.027131,1,0.0,0.0,0.0,0.0,1.0,0.0,75.0,77.0,90.0,70.0,88.0,34.41,8.0,5.0,-2.0,-1018.0
1756446842.127726,2,0.0,1.0,0.0,0.0,0.0,0.0,75.0,77.0,89.0,70.0,88.0,34.34,8.0,0.0,12.0,-992.0
1756446842.4252262,1,0.0,0.0,0.0,0.0,0.0,0.0,75.0,77.0,91.0,70.0,87.0,34.44,8.0,-3.0,4.0,-986.0
1756446842.5260074,2,0.0,0.0,0.0,0.0,0.0,0.0,68.0,70.0,92.0,90.0,93.0,32.66,8.0,-14.0,12.0,-994.0
1756446842.7407925,1,0.0,0.0,0.0,0.0,0.0,0.0,68.0,70.0,92.0,90.0,92.0,32.64,9.0,-32.0,14.0,-981.0
1756446842.9414964,2,0.0,0.0,0.0,0.0,0.0,0.0,74.0,77.0,90.0,70.0,87.0,34.41,9.0,8.0,-5.0,-979.0
1756446843.149529,1,0.0,0.0,0.0,0.0,0.0,0.0,68.0,71.0,93.0,90.0,92.0,32.63,9.0,-8.0,1.0,-1001.0
1756446843.2501183,2,0.0,0.0,0.0,0.0,0.0,0.0,74.0,77.0,89.0,70.0,87.0,34.41,9.0,9.0,3.0,-970.0
1756446843.5471778,1,0.0,0.0,0.0,0.0,0.0,0.0,74.0,77.0,89.0,60.0,87.0,34.45,10.0,1.0,-4.0,-982.0
1756446843.647898,2,0.0,0.0,0.0,0.0,0.0,0.0,68.0,71.0,93.0,90.0,92.0,32.62,10.0,-3.0,3.0,-1010.0
1756446843.8537734,1,0.0,0.0,0.0,0.0,0.0,0.0,73.0,76.0,89.0,60.0,87.0,34.5,10.0,2.0,3.0,-1008.0
1756446843.9542198,2,0.0,0.0,0.0,0.0,0.0,0.0,68.0,71.0,93.0,90.0,92.0,32.68,10.0,-8.0,2.0,-1009.0
1756446844.2230191,1,0.0,0.0,0.0,0.0,0.0,0.0,68.0,71.0,93.0,90.0,92.0,32.69,10.0,3.0,3.0,-1000.0
1756446844.323332,2,0.0,0.0,0.0,0.0,0.0,0.0,73.0,76.0,89.0,60.0,86.0,34.47,10.0,2.0,-13.0,-1016.0
1756446844.5697682,1,0.0,1.0,0.0,0.0,0.0,0.0,73.0,76.0,90.0,70.0,86.0,34.45,11.0,6.0,-13.0,-973.0
1756446844.6703198,2,0.0,0.0,0.0,0.0,0.0,0.0,68.0,71.0,94.0,90.0,91.0,32.62,11.0,-14.0,15.0,-988.0
1756446844.8752096,1,0.0,0.0,0.0,0.0,0.0,0.0,74.0,76.0,91.0,70.0,86.0,34.52,11.0,-17.0,-29.0,-1006.0
1756446844.9756708,2,0.0,0.0,0.0,0.0,0.0,0.0,68.0,71.0,94.0,90.0,91.0,32.67,11.0,0.0,12.0,-987.0
1756446845.2444947,1,0.0,0.0,0.0,0.0,0.0,0.0,68.0,70.0,94.0,90.0,91.0,32.63,11.0,-1.0,11.0,-1004.0
1756446845.345031,2,-1.0,0.0,0.0,0.0,0.0,0.0,74.0,76.0,92.0,70.0,86.0,34.49,11.0,0.0,-5.0,-990.0
1756446845.5506606,1,-1.0,1.0,1.0,0.0,0.0,0.0,74.0,76.0,94.0,70.0,86.0,34.42,12.0,-18.0,-13.0,-969.0
1756446845.6509774,2,0.0,2.0,1.0,0.0,0.0,0.0,74.0,76.0,94.0,70.0,86.0,34.42,12.0,2.0,-13.0,-975.0
1756446846.008107,1,0.0,1.0,0.0,0.0,0.0,0.0,73.0,76.0,94.0,70.0,86.0,34.36,12.0,-3.0,0.0,-973.0
1756446846.108742,2,0.0,0.0,0.0,0.0,0.0,0.0,68.0,70.0,94.0,90.0,91.0,32.7,12.0,12.0,-3.0,-1000.0
1756446846.3813384,1,0.0,1.0,0.0,0.0,0.0,0.0,68.0,70.0,94.0,90.0,91.0,32.69,12.0,-5.0,2.0,-997.0
1756446846.4818532,2,0.0,0.0,0.0,0.0,0.0,0.0,73.0,76.0,94.0,70.0,85.0,34.43,12.0,-15.0,-9.0,-991.0
1756446846.7646403,1,0.0,0.0,0.0,0.0,0.0,0.0,73.0,76.0,95.0,70.0,85.0,34.5,13.0,13.0,-16.0,-1015.0
1756446846.8653545,2,0.0,1.0,0.0,0.0,0.0,0.0,68.0,70.0,94.0,90.0,90.0,32.57,13.0,2.0,6.0,-990.0
1756446847.13198,1,0.0,1.0,0.0,0.0,-1.0,0.0,68.0,70.0,94.0,90.0,90.0,32.57,13.0,11.0,7.0,-995.0
1756446847.2330008,2,0.0,0.0,0.0,0.0,0.0,0.0,74.0,76.0,94.0,70.0,85.0,34.37,13.0,-4.0,-16.0,-986.0
1756446847.4786007,1,0.0,0.0,0.0,0.0,0.0,0.0,74.0,76.0,94.0,70.0,85.0,34.33,13.0,-13.0,-9.0,-1008.0
1756446847.5790663,2,0.0,0.0,0.0,0.0,-1.0,0.0,68.0,70.0,94.0,90.0,90.0,32.56,14.0,-14.0,11.0,-994.0
1756446847.7845764,1,0.0,0.0,0.0,0.0,0.0,0.0,74.0,76.0,92.0,70.0,85.0,34.43,14.0,0.0,0.0,-984.0
1756446847.8849454,2,0.0,0.0,0.0,0.0,0.0,0.0,68.0,70.0,93.0,90.0,90.0,32.57,14.0,-12.0,7.0,-1004.0
1756446848.1557972,1,0.0,0.0,0.0,0.0,0.0,0.0,67.0,71.0,93.0,90.0,90.0,32.59,14.0,-20.0,21.0,-986.0
1756446848.2563827,2,0.0,0.0,0.0,0.0,0.0,0.0,73.0,76.0,91.0,70.0,85.0,34.43,14.0,11.0,-9.0,-1031.0
1756446848.563968,1,0.0,-1.0,0.0,0.0,0.0,0.0,73.0,76.0,90.0,70.0,84.0,34.34,15.0,-2.0,-5.0,-997.0
1756446848.6645,2,0.0,0.0,-1.0,0.0,0.0,0.0,67.0,71.0,93.0,90.0,90.0,32.57,15.0,9.0,10.0,-1007.0
1756446848.9579504,1,0.0,-1.0,0.0,0.0,0.0,0.0,72.0,75.0,90.0,70.0,84.0,34.34,15.0,4.0,1.0,-1019.0
1756446849.059021,2,0.0,0.0,0.0,0.0,0.0,0.0,67.0,71.0,93.0,90.0,90.0,32.49,15.0,7.0,5.0,-1007.0
1756446849.2648,1,0.0,-1.0,0.0,0.0,0.0,0.0,72.0,75.0,90.0,70.0,84.0,34.33,15.0,-11.0,18.0,-983.0
1756446849.3650703,2,0.0,0.0,0.0,0.0,0.0,0.0,68.0,71.0,93.0,90.0,90.0,32.53,15.0,-6.0,3.0,-995.0
1756446849.5725129,1,0.0,0.0,0.0,0.0,1.0,0.0,72.0,75.0,91.0,70.0,84.0,34.38,16.0,-16.0,0.0,-1025.0
1756446849.6729183,2,0.0,0.0,0.0,0.0,0.0,0.0,68.0,71.0,93.0,90.0,89.0,32.49,16.0,-7.0,11.0,-986.0
1756446849.8947747,1,0.0,0.0,0.0,0.0,1.0,0.0,68.0,71.0,93.0,90.0,89.0,32.5,16.0,0.0,25.0,-1005.0
1756446849.9953108,2,0.0,0.0,0.0,0.0,2.0,0.0,73.0,75.0,90.0,70.0,84.0,34.31,16.0,-6.0,11.0,-1020.0
1756446850.286222,1,-1.0,0.0,0.0,0.0,1.0,0.0,73.0,75.0,89.0,70.0,83.0,34.36,16.0,-13.0,20.0,-975.0
1756446850.3867981,2,0.0,0.0,0.0,0.0,1.0,0.0,68.0,71.0,92.0,90.0,89.0,32.54,16.0,-19.0,30.0,-991.0
1756446850.6953113,1,-1.0,0.0,0.0,0.0,1.0,0.0,73.0,75.0,90.0,70.0,83.0,34.34,17.0,-27.0,18.0,-995.0
1756446850.7959583,2,0.0,0.0,0.0,0.0,1.0,0.0,68.0,71.0,91.0,90.0,89.0,32.53,17.0,4.0,3.0,-1001.0
1756446851.0029743,1,-2.0,0.0,0.0,0.0,1.0,0.0,73.0,75.0,90.0,70.0,83.0,34.34,17.0,-42.0,20.0,-997.0
1756446851.1043544,2,0.0,0.0,0.0,0.0,1.0,0.0,69.0,71.0,90.0,90.0,89.0,32.47,17.0,-1.0,11.0,-1005.0
1756446851.363933,1,0.0,0.0,0.0,0.0,0.0,0.0,69.0,71.0,90.0,90.0,89.0,32.5,17.0,-11.0,16.0,-988.0
1756446851.4646618,2,-2.0,0.0,0.0,0.0,1.0,0.0,73.0,75.0,90.0,70.0,83.0,34.28,17.0,-38.0,18.0,-1024.0
1756446851.669721,1,0.0,1.0,0.0,0.0,0.0,0.0,69.0,71.0,90.0,90.0,88.0,32.48,18.0,-6.0,3.0,-1001.0
1756446851.770635,2,-2.0,-1.0,0.0,0.0,1.0,0.0,73.0,75.0,89.0,70.0,83.0,34.31,18.0,-44.0,-2.0,-983.0
1756446852.0706682,1,-3.0,0.0,0.0,0.0,1.0,0.0,73.0,76.0,90.0,60.0,83.0,34.31,18.0,-29.0,-1.0,-973.0
1756446852.1712136,2,0.0,0.0,0.0,0.0,0.0,0.0,68.0,71.0,89.0,90.0,88.0,32.47,18.0,9.0,13.0,-1007.0
1756446852.3761353,1,-2.0,0.0,0.0,0.0,0.0,0.0,73.0,76.0,89.0,70.0,82.0,34.31,18.0,-30.0,-16.0,-1020.0
1756446852.4765472,2,0.0,0.0,0.0,0.0,0.0,0.0,68.0,71.0,91.0,90.0,88.0,32.56,18.0,-18.0,12.0,-1000.0
1756446852.6911721,1,0.0,0.0,0.0,0.0,0.0,0.0,68.0,71.0,91.0,90.0,88.0,32.49,19.0,-3.0,8.0,-995.0
1756446852.7916987,2,-1.0,0.0,0.0,-1.0,1.0,0.0,73.0,76.0,90.0,70.0,82.0,34.35,19.0,-14.0,-4.0,-1010.0
1756446853.0907266,1,-1.0,1.0,0.0,0.0,1.0,0.0,73.0,76.0,91.0,70.0,82.0,34.35,19.0,-23.0,-9.0,-998.0
1756446853.191435,2,0.0,0.0,0.0,0.0,0.0,0.0,68.0,71.0,91.0,90.0,88.0,32.52,19.0,-4.0,5.0,-998.0
1756446853.4101968,1,0.0,0.0,0.0,0.0,0.0,0.0,68.0,71.0,91.0,90.0,88.0,32.54,19.0,-5.0,4.0,-998.0
1756446853.5107052,2,0.0,0.0,0.0,0.0,0.0,0.0,68.0,71.0,91.0,90.0,87.0,32.5,19.0,-18.0,22.0,-983.0
1756446853.7664351,1,0.0,0.0,0.0,0.0,0.0,0.0,68.0,71.0,92.0,90.0,87.0,32.46,20.0,15.0,-3.0,-1000.0
1756446853.866981,2,0.0,0.0,0.0,0.0,0.0,0.0,73.0,76.0,91.0,70.0,82.0,34.35,20.0,5.0,7.0,-1000.0
1756446854.074627,1,0.0,0.0,0.0,0.0,0.0,0.0,69.0,71.0,92.0,90.0,87.0,32.55,20.0,4.0,8.0,-1009.0
1756446854.1750445,2,0.0,0.0,0.0,0.0,0.0,0.0,73.0,76.0,90.0,70.0,82.0,34.35,20.0,44.0,19.0,-1031.0
1756446854.3957303,1,0.0,0.0,0.0,0.0,0.0,0.0,69.0,71.0,91.0,90.0,87.0,32.47,20.0,-8.0,12.0,-1015.0
1756446854.496198,2,0.0,0.0,0.0,0.0,1.0,0.0,73.0,76.0,89.0,60.0,81.0,34.28,20.0,13.0,-3.0,-1046.0
1756446854.7248573,1,0.0,0.0,0.0,0.0,1.0,0.0,73.0,76.0,91.0,70.0,81.0,34.24,21.0,3.0,4.0,-1012.0
1756446854.825361,2,0.0,0.0,0.0,0.0,0.0,0.0,69.0,71.0,91.0,90.0,87.0,32.52,21.0,27.0,8.0,-1010.0
1756446855.03853,1,0.0,0.0,0.0,0.0,0.0,0.0,73.0,75.0,94.0,70.0,81.0,34.36,21.0,-1.0,2.0,-993.0
1756446855.1389866,2,0.0,0.0,0.0,0.0,0.0,0.0,68.0,70.0,91.0,90.0,87.0,32.46,21.0,-3.0,11.0,-1010.0
1756446855.3898873,1,-1.0,0.0,0.0,0.0,1.0,0.0,73.0,75.0,95.0,70.0,81.0,34.33,21.0,-12.0,-9.0,-995.0
1756446855.4904034,2,0.0,0.0,0.0,0.0,0.0,0.0,68.0,70.0,92.0,90.0,87.0,32.47,21.0,0.0,7.0,-994.0
1756446855.7141783,1,0.0,0.0,0.0,0.0,0.0,0.0,68.0,70.0,92.0,90.0,87.0,32.48,22.0,3.0,13.0,-994.0
1756446855.8145971,2,0.0,0.0,0.0,0.0,1.0,0.0,73.0,75.0,95.0,70.0,81.0,34.27,22.0,-14.0,-16.0,-1017.0
1756446856.1040578,1,0.0,0.0,0.0,0.0,1.0,0.0,73.0,75.0,93.0,70.0,81.0,34.33,22.0,-26.0,-26.0,-1013.0
1756446856.2044277,2,0.0,0.0,0.0,0.0,0.0,0.0,69.0,71.0,91.0,90.0,87.0,32.49,22.0,-4.0,12.0,-995.0
1756446856.4295645,1,0.0,0.0,0.0,0.0,0.0,0.0,69.0,71.0,91.0,90.0,87.0,32.48,22.0,0.0,21.0,-991.0
1756446856.5301337,2,0.0,0.0,0.0,0.0,0.0,0.0,69.0,71.0,91.0,90.0,86.0,32.42,22.0,-2.0,7.0,-997.0
1756446856.7782562,1,0.0,0.0,0.0,0.0,0.0,0.0,69.0,71.0,91.0,90.0,86.0,32.42,23.0,-2.0,12.0,-997.0
1756446856.8789043,2,-1.0,1.0,0.0,0.0,1.0,0.0,73.0,75.0,91.0,70.0,80.0,34.35,23.0,-30.0,0.0,-991.0
1756446857.1252513,1,-2.0,1.0,0.0,0.0,0.0,0.0,72.0,76.0,91.0,70.0,80.0,34.27,23.0,-12.0,11.0,-976.0
1756446857.2276156,2,0.0,0.0,0.0,0.0,0.0,0.0,69.0,71.0,92.0,90.0,86.0,32.49,23.0,5.0,1.0,-1014.0
1756446857.4919505,1,0.0,1.0,0.0,0.0,0.0,0.0,69.0,71.0,92.0,90.0,86.0,32.48,23.0,-4.0,10.0,-978.0
1756446857.5924544,2,0.0,1.0,0.0,0.0,0.0,0.0,72.0,76.0,90.0,70.0,80.0,34.18,24.0,-14.0,-7.0,-1027.0
